fund_name,company_name,nav_date,company_valuation,ownership_pct,company_nav
Ironbrook Capital Partners,Other Assets,2020-06-30,4000000,0,0
Ironbrook Capital Partners,Solstice Foods,2020-06-30,66000000,0,0
Ironbrook Capital Partners,Other Assets,2020-12-31,5000000,1,5000000
Ironbrook Capital Partners,Solstice Foods,2020-12-31,45000000,1,45000000
Ironbrook Capital Partners,Other Assets,2021-06-30,5000000,1,5000000
Ironbrook Capital Partners,Solstice Foods,2021-06-30,45000000,1,45000000
Ironbrook Capital Partners,Other Assets,2021-12-31,4000000,1,4000000
Ironbrook Capital Partners,Solstice Foods,2021-12-31,67000000,1,67000000
Palisade Ridge Capital,Brightridge Technologies,2020-12-31,150000000,0.01,1500000
Palisade Ridge Capital,Evermark Industries,2020-12-31,50000000,0.01,500000
Palisade Ridge Capital,Nexora Energy Solutions,2020-12-31,70000000,0.01,700000
Palisade Ridge Capital,Other Assets,2020-12-31,20000000,0.01,200000
Palisade Ridge Capital,Triton Forge Manufacturing,2020-12-31,60000000,0.01,600000
Palisade Ridge Capital,Velcoris Data Systems,2020-12-31,300000000,0.01,3000000
Palisade Ridge Capital,Zephiron Biopharma,2020-12-31,200000000,0.01,2000000
Palisade Ridge Capital,Brightridge Technologies,2021-03-31,155000000,0.01,1550000
Palisade Ridge Capital,Evermark Industries,2021-03-31,60000000,0.01,600000
Palisade Ridge Capital,Nexora Energy Solutions,2021-03-31,80000000,0.01,800000
Palisade Ridge Capital,Other Assets,2021-03-31,20000000,0.01,200000
Palisade Ridge Capital,Triton Forge Manufacturing,2021-03-31,65000000,0.01,650000
Palisade Ridge Capital,Velcoris Data Systems,2021-03-31,320000000,0.01,3200000
Palisade Ridge Capital,Zephiron Biopharma,2021-03-31,200000000,0.01,2000000
Palisade Ridge Capital,Brightridge Technologies,2021-06-30,170000000,0.01,1700000
Palisade Ridge Capital,Evermark Industries,2021-06-30,70000000,0.01,700000
Palisade Ridge Capital,Nexora Energy Solutions,2021-06-30,110000000,0.01,1100000
Palisade Ridge Capital,Other Assets,2021-06-30,35000000,0.01,350000
Palisade Ridge Capital,Triton Forge Manufacturing,2021-06-30,65000000,0.01,650000
Palisade Ridge Capital,Velcoris Data Systems,2021-06-30,320000000,0.01,3200000
Palisade Ridge Capital,Zephiron Biopharma,2021-06-30,210000000,0.01,2100000
Palisade Ridge Capital,Brightridge Technologies,2021-07-15,170000000,0.01,1700000
Palisade Ridge Capital,Evermark Industries,2021-07-15,70000000,0.01,700000
Palisade Ridge Capital,Nexora Energy Solutions,2021-07-15,110000000,0.01,1100000
Palisade Ridge Capital,Other Assets,2021-07-15,35000000,0.01,350000
Palisade Ridge Capital,Triton Forge Manufacturing,2021-07-15,65000000,0.01,650000
Palisade Ridge Capital,Velcoris Data Systems,2021-07-15,320000000,0.01,3200000
Palisade Ridge Capital,Zephiron Biopharma,2021-07-15,210000000,0.01,2100000
Palisade Ridge Capital,Brightridge Technologies,2021-08-11,170000000,0.01,1700000
Palisade Ridge Capital,Evermark Industries,2021-08-11,70000000,0.01,700000
Palisade Ridge Capital,Nexora Energy Solutions,2021-08-11,110000000,0.01,1100000
Palisade Ridge Capital,Other Assets,2021-08-11,35000000,0.01,350000
Palisade Ridge Capital,Triton Forge Manufacturing,2021-08-11,65000000,0.01,650000
Palisade Ridge Capital,Velcoris Data Systems,2021-08-11,320000000,0.01,3200000
Palisade Ridge Capital,Zephiron Biopharma,2021-08-11,210000000,0.01,2100000
Palisade Ridge Capital,Brightridge Technologies,2021-09-30,175000000,0.01,1750000
Palisade Ridge Capital,Evermark Industries,2021-09-30,90000000,0.01,900000
Palisade Ridge Capital,Nexora Energy Solutions,2021-09-30,110000000,0.01,1100000
Palisade Ridge Capital,Other Assets,2021-09-30,105000000,0.01,1050000
Palisade Ridge Capital,Triton Forge Manufacturing,2021-09-30,80000000,0.01,800000
Palisade Ridge Capital,Velcoris Data Systems,2021-09-30,320000000,0.01,3200000
Palisade Ridge Capital,Zephiron Biopharma,2021-09-30,220000000,0.01,2200000
Palisade Ridge Capital,Brightridge Technologies,2021-12-31,175000000,0.01,1750000
Palisade Ridge Capital,Evermark Industries,2021-12-31,90000000,0.01,900000
Palisade Ridge Capital,Nexora Energy Solutions,2021-12-31,110000000,0.01,1100000
Palisade Ridge Capital,Other Assets,2021-12-31,105000000,0.01,1050000
Palisade Ridge Capital,Triton Forge Manufacturing,2021-12-31,120000000,0.01,1200000
Palisade Ridge Capital,Velcoris Data Systems,2021-12-31,380000000,0.01,3800000
Palisade Ridge Capital,Zephiron Biopharma,2021-12-31,220000000,0.01,2200000
Summitvale Equity Group,Axentis Financial,2020-12-31,15000000,0.05,750000
Summitvale Equity Group,Other Assets,2020-12-31,5000000,0.05,250000
