fund_name,company_id,company_name,nav_date,company_valuation,fund_nav,total_company_valuation,scale_pct,company_nav
Ironbrook Capital Partners,1,Other Assets,2020-12-31,5000000,50000000,50000000,1,5000000
Ironbrook Capital Partners,2915,Solstice Foods,2020-12-31,45000000,50000000,50000000,1,45000000
Ironbrook Capital Partners,1,Other Assets,2021-12-31,4000000,71000000,71000000,1,4000000
Ironbrook Capital Partners,2915,Solstice Foods,2021-12-31,67000000,71000000,71000000,1,67000000
Palisade Ridge Capital,1,Other Assets,2020-12-31,20000000,8500000,850000000,0.01,200000
Palisade Ridge Capital,435,Triton Forge Manufacturing,2020-12-31,60000000,8500000,850000000,0.01,600000
Palisade Ridge Capital,716,Nexora Energy Solutions,2020-12-31,70000000,8500000,850000000,0.01,700000
Palisade Ridge Capital,916,Zephiron Biopharma,2020-12-31,200000000,8500000,850000000,0.01,2000000
Palisade Ridge Capital,1198,Velcoris Data Systems,2020-12-31,300000000,8500000,850000000,0.01,3000000
Palisade Ridge Capital,2563,Evermark Industries,2020-12-31,50000000,8500000,850000000,0.01,500000
Palisade Ridge Capital,4925,Brightridge Technologies,2020-12-31,150000000,8500000,850000000,0.01,1500000
Palisade Ridge Capital,1,Other Assets,2021-03-31,20000000,9000000,900000000,0.01,200000
Palisade Ridge Capital,435,Triton Forge Manufacturing,2021-03-31,65000000,9000000,900000000,0.01,650000
Palisade Ridge Capital,716,Nexora Energy Solutions,2021-03-31,80000000,9000000,900000000,0.01,800000
Palisade Ridge Capital,916,Zephiron Biopharma,2021-03-31,200000000,9000000,900000000,0.01,2000000
Palisade Ridge Capital,1198,Velcoris Data Systems,2021-03-31,320000000,9000000,900000000,0.01,3200000
Palisade Ridge Capital,2563,Evermark Industries,2021-03-31,60000000,9000000,900000000,0.01,600000
Palisade Ridge Capital,4925,Brightridge Technologies,2021-03-31,155000000,9000000,900000000,0.01,1550000
Palisade Ridge Capital,1,Other Assets,2021-06-30,35000000,9800000,980000000,0.01,350000
Palisade Ridge Capital,435,Triton Forge Manufacturing,2021-06-30,65000000,9800000,980000000,0.01,650000
